a6101000|	ADD R4, R5, R6
a010220c|	CMPEQD F4, F5, FCC0
2029120c|	CMPEQF F10, F9, FCC0
85241901|	MOVFD F4, F5
85181901|	MOVDF F4, F5
85101d01|	FFINTFW F4, F5
85201d01|	FFINTDW F4, F5
85181d01|	FFINTFV F4, F5
85281d01|	FFINTDV F4, F5
85041b01|	FTINTWF F4, F5
85241b01|	FTINTVF F4, F5
85081b01|	FTINTWD F4, F5
85281b01|	FTINTVD F4, F5
85881a01|	FTINTRZWD F4, F5
85841a01|	FTINTRZWF F4, F5
85a81a01|	FTINTRZVD F4, F5
85a41a01|	FTINTRZVF F4, F5
85941401|	MOVF F4, F5
85981401|	MOVD F4, F5
85a41401|	MOVW R4, F5
85b41401|	MOVW F4, R5
85a81401|	MOVV R4, F5
85b81401|	MOVV F4, R5
04dc1401|	MOVV FCC0, R4
80d81401|	MOVV R4, FCC0
6440002b|	MOVF 16(R3), F4
6440802b|	MOVD 16(R3), F4
a404002b|	MOVF 1(R5), F4
a404802b|	MOVD 1(R5), F4
6460402b|	MOVF F4, 24(R3)
6460c02b|	MOVD F4, 24(R3)
a404402b|	MOVF F4, 1(R5)
a404c02b|	MOVD F4, 1(R5)
5e020014|	LU12IW $18, R30
64a95214|	LU12IW $169291, R4
84d08703|	OR $500, R4
84428614|	LU12IW $274964, R4
84848c03|	OR $801, R4
24640816|	LU32ID $17185, R4
84000003|	LU52ID $0, R4
24a93615|	LU12IW $-412343, R4
84849003|	OR $1057, R4
8464c817|	LU32ID $-113884, R4
848c0203|	LU52ID $163, R4
80600000|	RDTIMELW R4, R0
80640000|	RDTIMEHW R4, R0
85680000|	RDTIMED R4, R5
1e00001a|	PCALAU12I $0, R30
0c02001c|	PCADDU12I $16, R12
c4038029|	MOVW R4, 0(R30)
ac395c38|	AMSWAPB R14, (R13), R12
acb95c38|	AMSWAPH R14, (R13), R12
ac396038|	AMSWAPW R14, (R13), R12
acb96038|	AMSWAPV R14, (R13), R12
ac395838|	AMCASB R14, (R13), R12
acb95838|	AMCASH R14, (R13), R12
ac395938|	AMCASW R14, (R13), R12
acb95938|	AMCASV R14, (R13), R12
ac396138|	AMADDW R14, (R13), R12
acb96138|	AMADDV R14, (R13), R12
ac396238|	AMANDW R14, (R13), R12
acb96238|	AMANDV R14, (R13), R12
ac396338|	AMORW R14, (R13), R12
acb96338|	AMORV R14, (R13), R12
ac396438|	AMXORW R14, (R13), R12
acb96438|	AMXORV R14, (R13), R12
ac396538|	AMMAXW R14, (R13), R12
acb96538|	AMMAXV R14, (R13), R12
ac396638|	AMMINW R14, (R13), R12
acb96638|	AMMINV R14, (R13), R12
ac396738|	AMMAXWU R14, (R13), R12
acb96738|	AMMAXVU R14, (R13), R12
ac396838|	AMMINWU R14, (R13), R12
acb96838|	AMMINVU R14, (R13), R12
ac395e38|	AMSWAPDBB R14, (R13), R12
acb95e38|	AMSWAPDBH R14, (R13), R12
ac396938|	AMSWAPDBW R14, (R13), R12
acb96938|	AMSWAPDBV R14, (R13), R12
ac395a38|	AMCASDBB R14, (R13), R12
acb95a38|	AMCASDBH R14, (R13), R12
ac395b38|	AMCASDBW R14, (R13), R12
acb95b38|	AMCASDBV R14, (R13), R12
ac396a38|	AMADDDBW R14, (R13), R12
acb96a38|	AMADDDBV R14, (R13), R12
ac396b38|	AMANDDBW R14, (R13), R12
acb96b38|	AMANDDBV R14, (R13), R12
ac396c38|	AMORDBW R14, (R13), R12
acb96c38|	AMORDBV R14, (R13), R12
ac396d38|	AMXORDBW R14, (R13), R12
acb96d38|	AMXORDBV R14, (R13), R12
ac396e38|	AMMAXDBW R14, (R13), R12
acb96e38|	AMMAXDBV R14, (R13), R12
ac396f38|	AMMINDBW R14, (R13), R12
acb96f38|	AMMINDBV R14, (R13), R12
ac397038|	AMMAXDBWU R14, (R13), R12
acb97038|	AMMAXDBVU R14, (R13), R12
ac397138|	AMMINDBWU R14, (R13), R12
acb97138|	AMMINDBVU R14, (R13), R12
856c0000|	CPUCFG R4, R5
85481e01|	FRINTD F4, F5
83c01401|	MOVV R4, FCSR3
64c81401|	MOVV FCSR3, R4
80d01401|	MOVV F4, FCC0
04d41401|	MOVV FCC0, F4
a6901201|	FCOPYSGF F4, F5, F6
a6101301|	FCOPYSGD F4, F5, F6
85500000|	BITREVW R4, R5
85540000|	BITREVV R4, R5
a6102400|	CRCWBW R4, R5, R6
a6902400|	CRCWHW R4, R5, R6
a6102500|	CRCWWW R4, R5, R6
a6902500|	CRCWVW R4, R5, R6
a6102600|	CRCCWBW R4, R5, R6
a6902600|	CRCCWHW R4, R5, R6
a6102700|	CRCCWWW R4, R5, R6
a6902700|	CRCCWVW R4, R5, R6
cc350038|	MOVB (R14)(R13), R12
cc352038|	MOVBU (R14)(R13), R12
cc350438|	MOVH (R14)(R13), R12
cc352438|	MOVHU (R14)(R13), R12
cc350838|	MOVW (R14)(R13), R12
cc352838|	MOVWU (R14)(R13), R12
cc350c38|	MOVV (R14)(R13), R12
cc351038|	MOVB R12, (R14)(R13)
cc351438|	MOVH R12, (R14)(R13)
cc351838|	MOVW R12, (R14)(R13)
cc351c38|	MOVV R12, (R14)(R13)
c2353038|	MOVF (R14)(R13), F2
c2353438|	MOVD (R14)(R13), F2
c2353838|	MOVF F2, (R14)(R13)
c2353c38|	MOVD F2, (R14)(R13)
a010120c|	CMPEQF F4, F5, FCC0
a190110c|	CMPGTF F4, F5, FCC1
a290210c|	CMPGTD F4, F5, FCC2
a390130c|	CMPGEF F4, F5, FCC3
a490230c|	CMPGED F4, F5, FCC4
a510220c|	CMPEQD F4, F5, FCC5
85100000|	CLOW R4, R5
85200000|	CLOV R4, R5
85140000|	CLZW R4, R5
85240000|	CLZV R4, R5
85180000|	CTOW R4, R5
85280000|	CTOV R4, R5
851c0000|	CTZW R4, R5
852c0000|	CTZV R4, R5
853c0000|	REVBV R4, R5
85380000|	REVB2W R4, R5
85340000|	REVB4H R4, R5
85300000|	REVB2H R4, R5
a6900a01|	FMINF F4, F5, F6
a5900a01|	FMINF F4, F5
a6100b01|	FMIND F4, F5, F6
a5100b01|	FMIND F4, F5
a6900801|	FMAXF F4, F5, F6
a5900801|	FMAXF F4, F5
a6100901|	FMAXD F4, F5, F6
a5100901|	FMAXD F4, F5
85341401|	FCLASSF F4, F5
85381401|	FCLASSD F4, F5
02041a01|	FTINTRMWF F0, F2
02081a01|	FTINTRMWD F0, F2
02241a01|	FTINTRMVF F0, F2
02281a01|	FTINTRMVD F0, F2
02441a01|	FTINTRPWF F0, F2
02481a01|	FTINTRPWD F0, F2
02641a01|	FTINTRPVF F0, F2
02681a01|	FTINTRPVD F0, F2
02841a01|	FTINTRZWF F0, F2
02881a01|	FTINTRZWD F0, F2
02a41a01|	FTINTRZVF F0, F2
02a81a01|	FTINTRZVD F0, F2
02c41a01|	FTINTRNEWF F0, F2
02c81a01|	FTINTRNEWD F0, F2
02e41a01|	FTINTRNEVF F0, F2
02e81a01|	FTINTRNEVD F0, F2
01101d01|	FFINTFW F0, F1
01181d01|	FFINTFV F0, F1
01201d01|	FFINTDW F0, F1
01281d01|	FFINTDV F0, F1
01041b01|	FTINTWF F0, F1
01081b01|	FTINTWD F0, F1
01241b01|	FTINTVF F0, F1
01281b01|	FTINTVD F0, F1
c7901208|	FMADDF F5, F4, F6, F7
c7902208|	FMADDD F5, F4, F6, F7
c7905208|	FMSUBF F5, F4, F6, F7
c7906208|	FMSUBD F5, F4, F6, F7
c7909208|	FNMADDF F5, F4, F6, F7
c790a208|	FNMADDD F5, F4, F6, F7
c790d208|	FNMSUBF F5, F4, F6, F7
c790e208|	FNMSUBD F5, F4, F6, F7
85806000|	BSTRPICKW $0, R4, $0, R5
85807f00|	BSTRPICKW $31, R4, $0, R5
85986f00|	BSTRPICKW $15, R4, $6, R5
8500c000|	BSTRPICKV $0, R4, $0, R5
8500ff00|	BSTRPICKV $63, R4, $0, R5
8518cf00|	BSTRPICKV $15, R4, $6, R5
85006000|	BSTRINSW $0, R4, $0, R5
85007f00|	BSTRINSW $31, R4, $0, R5
85186f00|	BSTRINSW $15, R4, $6, R5
85008000|	BSTRINSV $0, R4, $0, R5
8500bf00|	BSTRINSV $63, R4, $0, R5
85188f00|	BSTRINSV $15, R4, $6, R5
