b3027300|	ADD X7, X6, X5
af220314|	LRW (X6), X5
af220312|	LRW (X6), X5
b7829102|	LUI $10520, X5
8322f37f|	MOVW 2047(X6), X5
8362f37f|	MOVWU 2047(X6), X5
b3027302|	MUL X7, X6, X5
b3127302|	MULH X7, X6, X5
b3227302|	MULHSU X7, X6, X5
b3327302|	MULHU X7, X6, X5
bb027302|	MULW X7, X6, X5
b3627300|	OR X7, X6, X5
93620380|	ORI $-2048, X6, X5
b3627302|	REM X7, X6, X5
b3727302|	REMU X7, X6, X5
bb627302|	REMW X7, X6, X5
a30f537e|	MOVB X5, 2047(X6)
afb26318|	SCD X6, (X7), X5
afb2631c|	SCD X6, (X7), X5
afb2631a|	SCD X6, (X7), X5
afa26318|	SCW X6, (X7), X5
afa2631c|	SCW X6, (X7), X5
afa2631a|	SCW X6, (X7), X5
a33f537e|	MOV X5, 2047(X6)
23105380|	MOVH X5, -2048(X6)
b3127300|	SLL X7, X6, X5
93124303|	SLLI $52, X6, X5
9b127301|	SLLIW $23, X6, X5
b3227300|	SLT X7, X6, X5
9322f37f|	SLTI $2047, X6, X5
93320380|	SLTIU $-2048, X6, X5
93321300|	SEQZ X6, X5
b3327300|	SLTU X7, X6, X5
33394001|	SNEZ X20, X18
b3527340|	SRA X7, X6, X5
93524343|	SRAI $52, X6, X5
9b526341|	SRAIW $22, X6, X5
bb527340|	SRAW X7, X6, X5
b3527300|	SRL X7, X6, X5
93524303|	SRLI $52, X6, X5
9b526301|	SRLIW $22, X6, X5
bb527300|	SRLW X7, X6, X5
b3027340|	SUB X7, X6, X5
b3026040|	NEG X6, X5
bb027340|	SUBW X7, X6, X5
a32f537e|	MOVW X5, 2047(X6)
b3427300|	XOR X7, X6, X5
9342f37f|	XORI $2047, X6, X5
93c2ffff|	NOT X31, X5
bb003108|	ADDUW X3, X2, X1
33a26220|	SH1ADD X6, X5, X4
bb239420|	SH1ADDUW X9, X8, X7
33c5c520|	SH2ADD X12, X11, X10
bb46f720|	SH2ADDUW X15, X14, X13
33e82821|	SH3ADD X18, X17, X16
bb695a21|	SH3ADDUW X21, X20, X19
1b9b7b09|	SLLIUW $23, X23, X22
33fcac41|	ANDN X26, X25, X24
b36dde41|	ORN X29, X28, X27
33cf1f40|	XNOR X1, X31, X30
13910160|	CLZ X3, X2
1b920260|	CLZW X5, X4
13931360|	CTZ X7, X6
1b941460|	CTZW X9, X8
13952560|	CPOP X11, X10
1b962660|	CPOPW X13, X12
33e7070b|	MAX X16, X15, X14
b378390b|	MAXU X19, X18, X17
33ca6a0b|	MIN X22, X21, X20
b35b9c0b|	MINU X25, X24, X23
139d4d60|	SEXTB X27, X26
139e5e60|	SEXTH X29, X28
3bcf0f08|	ZEXTH X31, X30
b3102060|	ROL X2, X0, X1
bb115260|	ROLW X5, X4, X3
33d38360|	ROR X8, X7, X6
9354a560|	RORI $10, X10, X9
9b55e660|	RORIW $14, X12, X11
bb56f760|	RORW X15, X14, X13
13d87828|	ORCB X17, X16
13d9896b|	REV8 X19, X18
339a6a49|	BCLR X22, X21, X20
931bfc48|	BCLRI $15, X24, X23
b35cbd49|	BEXT X27, X26, X25
13de8e48|	BEXTI $8, X29, X28
339f0f68|	BINV X0, X31, X30
9310016a|	BINVI $32, X2, X1
b3115228|	BSET X5, X4, X3
1393f32b|	BSETI $63, X7, X6

# 12.3: "Zicond" Extension for Integer Conditional Operations, Version 1.0.0
b353530e|	CZEROEQZ X5, X6, X7
b373530e|	CZERONEZ X5, X6, X7

# "V" Standard Extension for Vector Operations, Version 1.0

# 31.6: Configuration Setting Instructions
57760500|	VSETVLI	X10, E8, M1, TU, MU, X12
57768500|	VSETVLI	X10, E16, M1, TU, MU, X12
57760501|	VSETVLI	X10, E32, M1, TU, MU, X12
57768501|	VSETVLI	X10, E64, M1, TU, MU, X12
57760509|	VSETVLI	X10, E32, M1, TU, MA, X12
5776050d|	VSETVLI	X10, E32, M1, TA, MA, X12
5776150d|	VSETVLI	X10, E32, M2, TA, MA, X12
5776250d|	VSETVLI	X10, E32, M4, TA, MA, X12
5776350d|	VSETVLI	X10, E32, M8, TA, MA, X12
5776550d|	VSETVLI	X10, E32, MF8, TA, MA, X12
5776650d|	VSETVLI	X10, E32, MF4, TA, MA, X12
5776750d|	VSETVLI	X10, E32, MF2, TA, MA, X12
5776050d|	VSETVLI	X10, E32, M1, TA, MA, X12
577600cd|	VSETIVLI $0, E32, M1, TA, MA, X12
57f607cd|	VSETIVLI $15, E32, M1, TA, MA, X12
57f60fcd|	VSETIVLI $31, E32, M1, TA, MA, X12
57f6a580|	VSETVL	X10, X11, X12

# 31.7.4: Vector Unit-Stride Instructions
87010502|	VLE8V (X10), V3
87010500|	VLE8V (X10), V0, V3
87510502|	VLE16V (X10), V3
87510500|	VLE16V (X10), V0, V3
87610502|	VLE32V (X10), V3
87610500|	VLE32V (X10), V0, V3
87710502|	VLE64V (X10), V3
87710500|	VLE64V (X10), V0, V3
a7010502|	VSE8V V3, (X10)
a7010500|	VSE8V V3, V0, (X10)
a7510502|	VSE16V V3, (X10)
a7510500|	VSE16V V3, V0, (X10)
a7610502|	VSE32V V3, (X10)
a7610500|	VSE32V V3, V0, (X10)
a7710502|	VSE64V V3, (X10)
a7710500|	VSE64V V3, V0, (X10)
8701b502|	VLMV (X10), V3
a701b502|	VSMV V3, (X10)

# 31.7.5: Vector Strided Instructions
8701b50a|	VLSE8V (X10), X11, V3
8701b508|	VLSE8V (X10), X11, V0, V3
8751b50a|	VLSE16V (X10), X11, V3
8751b508|	VLSE16V (X10), X11, V0, V3
8761b50a|	VLSE32V (X10), X11, V3
8761b508|	VLSE32V (X10), X11, V0, V3
8771b50a|	VLSE64V (X10), X11, V3
8771b508|	VLSE64V (X10), X11, V0, V3
a701b50a|	VSSE8V V3, X11, (X10)
a701b508|	VSSE8V V3, X11, V0, (X10)
a751b50a|	VSSE16V V3, X11, (X10)
a751b508|	VSSE16V V3, X11, V0, (X10)
a761b50a|	VSSE32V V3, X11, (X10)
a761b508|	VSSE32V V3, X11, V0, (X10)
a771b50a|	VSSE64V V3, X11, (X10)
a771b508|	VSSE64V V3, X11, V0, (X10)

# 31.7.6: Vector Indexed Instructions
87012506|	VLUXEI8V (X10), V2, V3
87012504|	VLUXEI8V (X10), V2, V0, V3
87512506|	VLUXEI16V (X10), V2, V3
87512504|	VLUXEI16V (X10), V2, V0, V3
87612506|	VLUXEI32V (X10), V2, V3
87612504|	VLUXEI32V (X10), V2, V0, V3
87712506|	VLUXEI64V (X10), V2, V3
87712504|	VLUXEI64V (X10), V2, V0, V3
8701250e|	VLOXEI8V (X10), V2, V3
8701250c|	VLOXEI8V (X10), V2, V0, V3
8751250e|	VLOXEI16V (X10), V2, V3
8751250c|	VLOXEI16V (X10), V2, V0, V3
8761250e|	VLOXEI32V (X10), V2, V3
8761250c|	VLOXEI32V (X10), V2, V0, V3
8771250e|	VLOXEI64V (X10), V2, V3
8771250c|	VLOXEI64V (X10), V2, V0, V3
a7012506|	VSUXEI8V V3, V2, (X10)
a7012504|	VSUXEI8V V3, V2, V0, (X10)
a7512506|	VSUXEI16V V3, V2, (X10)
a7512504|	VSUXEI16V V3, V2, V0, (X10)
a7612506|	VSUXEI32V V3, V2, (X10)
a7612504|	VSUXEI32V V3, V2, V0, (X10)
a7712506|	VSUXEI64V V3, V2, (X10)
a7712504|	VSUXEI64V V3, V2, V0, (X10)
a701250e|	VSOXEI8V V3, V2, (X10)
a701250c|	VSOXEI8V V3, V2, V0, (X10)
a751250e|	VSOXEI16V V3, V2, (X10)
a751250c|	VSOXEI16V V3, V2, V0, (X10)
a761250e|	VSOXEI32V V3, V2, (X10)
a761250c|	VSOXEI32V V3, V2, V0, (X10)
a771250e|	VSOXEI64V V3, V2, (X10)
a771250c|	VSOXEI64V V3, V2, V0, (X10)

# 31.7.7: Unit-stride Fault-Only-First Loads
07040503|	VLE8FFV (X10), V8
07540503|	VLE16FFV (X10), V8
07640503|	VLE32FFV (X10), V8
07740503|	VLE64FFV (X10), V8
07040501|	VLE8FFV (X10), V0, V8
07540501|	VLE16FFV (X10), V0, V8
07640501|	VLE32FFV (X10), V0, V8
07740501|	VLE64FFV (X10), V0, V8

# 31.7.8.1: Vector Unit-Stride Segment Loads and Stores
07040522|	VLSEG2E8V (X10), V8
07540522|	VLSEG2E16V (X10), V8
07640522|	VLSEG2E32V (X10), V8
07740522|	VLSEG2E64V (X10), V8
07040520|	VLSEG2E8V (X10), V0, V8
07540520|	VLSEG2E16V (X10), V0, V8
07640520|	VLSEG2E32V (X10), V0, V8
07740520|	VLSEG2E64V (X10), V0, V8
07040542|	VLSEG3E8V (X10), V8
07540542|	VLSEG3E16V (X10), V8
07640542|	VLSEG3E32V (X10), V8
07740542|	VLSEG3E64V (X10), V8
07040540|	VLSEG3E8V (X10), V0, V8
07540540|	VLSEG3E16V (X10), V0, V8
07640540|	VLSEG3E32V (X10), V0, V8
07740540|	VLSEG3E64V (X10), V0, V8
07040562|	VLSEG4E8V (X10), V8
07540562|	VLSEG4E16V (X10), V8
07640562|	VLSEG4E32V (X10), V8
07740562|	VLSEG4E64V (X10), V8
07040560|	VLSEG4E8V (X10), V0, V8
07540560|	VLSEG4E16V (X10), V0, V8
07640560|	VLSEG4E32V (X10), V0, V8
07740560|	VLSEG4E64V (X10), V0, V8
07040582|	VLSEG5E8V (X10), V8
07540582|	VLSEG5E16V (X10), V8
07640582|	VLSEG5E32V (X10), V8
07740582|	VLSEG5E64V (X10), V8
07040580|	VLSEG5E8V (X10), V0, V8
07540580|	VLSEG5E16V (X10), V0, V8
07640580|	VLSEG5E32V (X10), V0, V8
07740580|	VLSEG5E64V (X10), V0, V8
070405a2|	VLSEG6E8V (X10), V8
075405a2|	VLSEG6E16V (X10), V8
076405a2|	VLSEG6E32V (X10), V8
077405a2|	VLSEG6E64V (X10), V8
070405a0|	VLSEG6E8V (X10), V0, V8
075405a0|	VLSEG6E16V (X10), V0, V8
076405a0|	VLSEG6E32V (X10), V0, V8
077405a0|	VLSEG6E64V (X10), V0, V8
070405c2|	VLSEG7E8V (X10), V8
075405c2|	VLSEG7E16V (X10), V8
076405c2|	VLSEG7E32V (X10), V8
077405c2|	VLSEG7E64V (X10), V8
070405c0|	VLSEG7E8V (X10), V0, V8
075405c0|	VLSEG7E16V (X10), V0, V8
076405c0|	VLSEG7E32V (X10), V0, V8
077405c0|	VLSEG7E64V (X10), V0, V8
070405e2|	VLSEG8E8V (X10), V8
075405e2|	VLSEG8E16V (X10), V8
076405e2|	VLSEG8E32V (X10), V8
077405e2|	VLSEG8E64V (X10), V8
070405e0|	VLSEG8E8V (X10), V0, V8
075405e0|	VLSEG8E16V (X10), V0, V8
076405e0|	VLSEG8E32V (X10), V0, V8
077405e0|	VLSEG8E64V (X10), V0, V8
270c0522|	VSSEG2E8V V24, (X10)
275c0522|	VSSEG2E16V V24, (X10)
276c0522|	VSSEG2E32V V24, (X10)
277c0522|	VSSEG2E64V V24, (X10)
270c0520|	VSSEG2E8V V24, V0, (X10)
275c0520|	VSSEG2E16V V24, V0, (X10)
276c0520|	VSSEG2E32V V24, V0, (X10)
277c0520|	VSSEG2E64V V24, V0, (X10)
270c0542|	VSSEG3E8V V24, (X10)
275c0542|	VSSEG3E16V V24, (X10)
276c0542|	VSSEG3E32V V24, (X10)
277c0542|	VSSEG3E64V V24, (X10)
270c0540|	VSSEG3E8V V24, V0, (X10)
275c0540|	VSSEG3E16V V24, V0, (X10)
276c0540|	VSSEG3E32V V24, V0, (X10)
277c0540|	VSSEG3E64V V24, V0, (X10)
270c0562|	VSSEG4E8V V24, (X10)
275c0562|	VSSEG4E16V V24, (X10)
276c0562|	VSSEG4E32V V24, (X10)
277c0562|	VSSEG4E64V V24, (X10)
270c0560|	VSSEG4E8V V24, V0, (X10)
275c0560|	VSSEG4E16V V24, V0, (X10)
276c0560|	VSSEG4E32V V24, V0, (X10)
277c0560|	VSSEG4E64V V24, V0, (X10)
270c0582|	VSSEG5E8V V24, (X10)
275c0582|	VSSEG5E16V V24, (X10)
276c0582|	VSSEG5E32V V24, (X10)
277c0582|	VSSEG5E64V V24, (X10)
270c0580|	VSSEG5E8V V24, V0, (X10)
275c0580|	VSSEG5E16V V24, V0, (X10)
276c0580|	VSSEG5E32V V24, V0, (X10)
277c0580|	VSSEG5E64V V24, V0, (X10)
270c05a2|	VSSEG6E8V V24, (X10)
275c05a2|	VSSEG6E16V V24, (X10)
276c05a2|	VSSEG6E32V V24, (X10)
277c05a2|	VSSEG6E64V V24, (X10)
270c05a0|	VSSEG6E8V V24, V0, (X10)
275c05a0|	VSSEG6E16V V24, V0, (X10)
276c05a0|	VSSEG6E32V V24, V0, (X10)
277c05a0|	VSSEG6E64V V24, V0, (X10)
270c05c2|	VSSEG7E8V V24, (X10)
275c05c2|	VSSEG7E16V V24, (X10)
276c05c2|	VSSEG7E32V V24, (X10)
277c05c2|	VSSEG7E64V V24, (X10)
270c05c0|	VSSEG7E8V V24, V0, (X10)
275c05c0|	VSSEG7E16V V24, V0, (X10)
276c05c0|	VSSEG7E32V V24, V0, (X10)
277c05c0|	VSSEG7E64V V24, V0, (X10)
270c05e2|	VSSEG8E8V V24, (X10)
275c05e2|	VSSEG8E16V V24, (X10)
276c05e2|	VSSEG8E32V V24, (X10)
277c05e2|	VSSEG8E64V V24, (X10)
270c05e0|	VSSEG8E8V V24, V0, (X10)
275c05e0|	VSSEG8E16V V24, V0, (X10)
276c05e0|	VSSEG8E32V V24, V0, (X10)
277c05e0|	VSSEG8E64V V24, V0, (X10)
07040523|	VLSEG2E8FFV (X10), V8
07540523|	VLSEG2E16FFV (X10), V8
07640523|	VLSEG2E32FFV (X10), V8
07740523|	VLSEG2E64FFV (X10), V8
07040521|	VLSEG2E8FFV (X10), V0, V8
07540521|	VLSEG2E16FFV (X10), V0, V8
07640521|	VLSEG2E32FFV (X10), V0, V8
07740521|	VLSEG2E64FFV (X10), V0, V8
07040543|	VLSEG3E8FFV (X10), V8
07540543|	VLSEG3E16FFV (X10), V8
07640543|	VLSEG3E32FFV (X10), V8
07740543|	VLSEG3E64FFV (X10), V8
07040541|	VLSEG3E8FFV (X10), V0, V8
07540541|	VLSEG3E16FFV (X10), V0, V8
07640541|	VLSEG3E32FFV (X10), V0, V8
07740541|	VLSEG3E64FFV (X10), V0, V8
07040563|	VLSEG4E8FFV (X10), V8
07540563|	VLSEG4E16FFV (X10), V8
07640563|	VLSEG4E32FFV (X10), V8
07740563|	VLSEG4E64FFV (X10), V8
07040561|	VLSEG4E8FFV (X10), V0, V8
07540561|	VLSEG4E16FFV (X10), V0, V8
07640561|	VLSEG4E32FFV (X10), V0, V8
07740561|	VLSEG4E64FFV (X10), V0, V8
07040583|	VLSEG5E8FFV (X10), V8
07540583|	VLSEG5E16FFV (X10), V8
07640583|	VLSEG5E32FFV (X10), V8
07740583|	VLSEG5E64FFV (X10), V8
07040581|	VLSEG5E8FFV (X10), V0, V8
07540581|	VLSEG5E16FFV (X10), V0, V8
07640581|	VLSEG5E32FFV (X10), V0, V8
07740581|	VLSEG5E64FFV (X10), V0, V8
070405a3|	VLSEG6E8FFV (X10), V8
075405a3|	VLSEG6E16FFV (X10), V8
076405a3|	VLSEG6E32FFV (X10), V8
077405a3|	VLSEG6E64FFV (X10), V8
070405a1|	VLSEG6E8FFV (X10), V0, V8
075405a1|	VLSEG6E16FFV (X10), V0, V8
076405a1|	VLSEG6E32FFV (X10), V0, V8
077405a1|	VLSEG6E64FFV (X10), V0, V8
070405c3|	VLSEG7E8FFV (X10), V8
075405c3|	VLSEG7E16FFV (X10), V8
076405c3|	VLSEG7E32FFV (X10), V8
077405c3|	VLSEG7E64FFV (X10), V8
070405c1|	VLSEG7E8FFV (X10), V0, V8
075405c1|	VLSEG7E16FFV (X10), V0, V8
076405c1|	VLSEG7E32FFV (X10), V0, V8
077405c1|	VLSEG7E64FFV (X10), V0, V8
070405e3|	VLSEG8E8FFV (X10), V8
075405e3|	VLSEG8E16FFV (X10), V8
076405e3|	VLSEG8E32FFV (X10), V8
077405e3|	VLSEG8E64FFV (X10), V8
070405e1|	VLSEG8E8FFV (X10), V0, V8
075405e1|	VLSEG8E16FFV (X10), V0, V8
076405e1|	VLSEG8E32FFV (X10), V0, V8
077405e1|	VLSEG8E64FFV (X10), V0, V8

# 31.7.8.2: Vector Strided Segment Loads and Stores
0704b52a|	VLSSEG2E8V (X10), X11, V8
0754b52a|	VLSSEG2E16V (X10), X11, V8
0764b52a|	VLSSEG2E32V (X10), X11, V8
0774b52a|	VLSSEG2E64V (X10), X11, V8
0704b528|	VLSSEG2E8V (X10), X11, V0, V8
0754b528|	VLSSEG2E16V (X10), X11, V0, V8
0764b528|	VLSSEG2E32V (X10), X11, V0, V8
0774b528|	VLSSEG2E64V (X10), X11, V0, V8
0704b54a|	VLSSEG3E8V (X10), X11, V8
0754b54a|	VLSSEG3E16V (X10), X11, V8
0764b54a|	VLSSEG3E32V (X10), X11, V8
0774b54a|	VLSSEG3E64V (X10), X11, V8
0704b548|	VLSSEG3E8V (X10), X11, V0, V8
0754b548|	VLSSEG3E16V (X10), X11, V0, V8
0764b548|	VLSSEG3E32V (X10), X11, V0, V8
0774b548|	VLSSEG3E64V (X10), X11, V0, V8
0704b56a|	VLSSEG4E8V (X10), X11, V8
0754b56a|	VLSSEG4E16V (X10), X11, V8
0764b56a|	VLSSEG4E32V (X10), X11, V8
0774b56a|	VLSSEG4E64V (X10), X11, V8
